Internal ID,Lease Type,Lease Subtype,Transaction Number,Lessee(s),Legacy Lease Number,Start Date (Letter Merge),End Date (Letter Merge),Related Asset,Name,Acreage,Legal Description,Lease Terms (Years),Administrator,District,Meridian,Township,Range,Section#,Lease Status,Error/Audit Messages
8869,Agriculture,Stewardship Incentive,AG-100179,"R BAR CATTLE CO, GENE E MILLER, KATHY L MILLER",AG 44758,,,FAM002176,6-6N-52W-9-Surface-Logan-School,640.0,ALL,20,Wilbur Strickert,Northeast,6,6N,52W,9.0,Active,Unable to resolve section number to a digit
8869,Agriculture,Stewardship Incentive,AG-100179,"R BAR CATTLE CO, GENE E MILLER, KATHY L MILLER",AG 44758,,,FAM002177,6-6N-52W-10-Surface-Logan-School,240.0,"W2NW,SW",20,Wilbur Strickert,Northeast,6,6N,52W,10.0,Active,Unable to resolve section number to a digit
8869,Agriculture,Stewardship Incentive,AG-100179,"R BAR CATTLE CO, GENE E MILLER, KATHY L MILLER",AG 44758,,,FAM002178,6-6N-52W-13-Surface-Logan-School,320.0,S2,20,Wilbur Strickert,Northeast,6,6N,52W,13.0,Active,Unable to resolve section number to a digit
8869,Agriculture,Stewardship Incentive,AG-100179,"R BAR CATTLE CO, GENE E MILLER, KATHY L MILLER",AG 44758,,,FAM002179,6-6N-52W-15-Surface-Logan-School,320.0,W2,20,Wilbur Strickert,Northeast,6,6N,52W,15.0,Active,Unable to resolve section number to a digit
8869,Agriculture,Stewardship Incentive,AG-100179,"R BAR CATTLE CO, GENE E MILLER, KATHY L MILLER",AG 44758,,,FAM002180,6-6N-52W-16-Surface-Logan-School,640.0,ALL,20,Wilbur Strickert,Northeast,6,6N,52W,16.0,Active,Unable to resolve section number to a digit
8869,Agriculture,Stewardship Incentive,AG-100179,"R BAR CATTLE CO, GENE E MILLER, KATHY L MILLER",AG 44758,,,FAM002170,6-6N-51W-18-Surface-Logan-School,324.1,S2,20,Wilbur Strickert,Northeast,6,6N,51W,18.0,Active,Unable to resolve section number to a digit
8869,Agriculture,Stewardship Incentive,AG-100179,"R BAR CATTLE CO, GENE E MILLER, KATHY L MILLER",AG 44758,,,FAM002171,6-6N-51W-19-Surface-Logan-School,331.31,E2W2; LOTS 1-4,20,Wilbur Strickert,Northeast,6,6N,51W,19.0,Active,Unable to resolve section number to a digit
8869,Agriculture,Stewardship Incentive,AG-100179,"R BAR CATTLE CO, GENE E MILLER, KATHY L MILLER",AG 44758,,,FAM002181,6-6N-52W-21-Surface-Logan-School,320.0,N2,20,Wilbur Strickert,Northeast,6,6N,52W,21.0,Active,Unable to resolve section number to a digit
8869,Agriculture,Stewardship Incentive,AG-100179,"R BAR CATTLE CO, GENE E MILLER, KATHY L MILLER",AG 44758,,,FAM002182,6-6N-52W-22-Surface-Logan-School,160.0,NW,20,Wilbur Strickert,Northeast,6,6N,52W,22.0,Active,Unable to resolve section number to a digit
8869,Agriculture,Stewardship Incentive,AG-100179,"R BAR CATTLE CO, GENE E MILLER, KATHY L MILLER",AG 44758,,,FAM002183,6-6N-52W-23-Surface-Logan-School,320.0,E2,20,Wilbur Strickert,Northeast,6,6N,52W,23.0,Active,Unable to resolve section number to a digit
8869,Agriculture,Stewardship Incentive,AG-100179,"R BAR CATTLE CO, GENE E MILLER, KATHY L MILLER",AG 44758,,,FAM002184,6-6N-52W-24-Surface-Logan-School,640.0,ALL,20,Wilbur Strickert,Northeast,6,6N,52W,24.0,Active,Unable to resolve section number to a digit
8869,Agriculture,Stewardship Incentive,AG-100179,"R BAR CATTLE CO, GENE E MILLER, KATHY L MILLER",AG 44758,,,FAM002185,6-6N-52W-25-Surface-Logan-School,640.0,ALL,20,Wilbur Strickert,Northeast,6,6N,52W,25.0,Active,Unable to resolve section number to a digit
8869,Agriculture,Stewardship Incentive,AG-100179,"R BAR CATTLE CO, GENE E MILLER, KATHY L MILLER",AG 44758,,,FAM002186,6-6N-52W-26-Surface-Logan-School,320.0,E2,20,Wilbur Strickert,Northeast,6,6N,52W,26.0,Active,Unable to resolve section number to a digit
8869,Agriculture,Stewardship Incentive,AG-100179,"R BAR CATTLE CO, GENE E MILLER, KATHY L MILLER",AG 44758,,,FAM002172,6-6N-51W-30-Surface-Logan-School,337.25,E2W2; LOTS 1-4,20,Wilbur Strickert,Northeast,6,6N,51W,30.0,Active,Unable to resolve section number to a digit
8869,Agriculture,Stewardship Incentive,AG-100179,"R BAR CATTLE CO, GENE E MILLER, KATHY L MILLER",AG 44758,,,FAM002188,6-6N-52W-35-Surface-Logan-School,320.0,E2,20,Wilbur Strickert,Northeast,6,6N,52W,35.0,Active,Unable to resolve section number to a digit
8869,Agriculture,Stewardship Incentive,AG-100179,"R BAR CATTLE CO, GENE E MILLER, KATHY L MILLER",AG 44758,,,FAM002189,6-6N-52W-36-Surface-Logan-School,640.0,ALL,20,Wilbur Strickert,Northeast,6,6N,52W,36.0,Active,Unable to resolve section number to a digit
10508,Agriculture,Grazing,AG-101818,"TED JASON STITES, JENNIFER STITES",AG 47181,2014-06-28,2024-06-28,FAM006067,6-24S-57W-16-Surface-Otero-School,640.0,ALL,10,Mariah Pillmore Parker,South Central,6,24S,57W,16.0,Active,Unable to resolve section number to a digit
10508,Agriculture,Grazing,AG-101818,"TED JASON STITES, JENNIFER STITES",AG 47181,2014-06-28,2024-06-28,FAM006067,6-24S-57W-16-Surface-Otero-School,640.0,ALL,10,Mariah Pillmore Parker,South Central,6,24S,57W,16.0,Active,Unable to resolve section number to a digit
10508,Agriculture,Grazing,AG-101818,"TED JASON STITES, JENNIFER STITES",AG 47181,2014-06-28,2024-06-28,FAM006067,6-24S-57W-16-Surface-Otero-School,640.0,ALL,10,Mariah Pillmore Parker,South Central,6,24S,57W,16.0,Active,Unable to resolve section number to a digit
10508,Agriculture,Grazing,AG-101818,"TED JASON STITES, JENNIFER STITES",AG 47181,2014-06-28,2024-06-28,FAM006067,6-24S-57W-16-Surface-Otero-School,640.0,ALL,10,Mariah Pillmore Parker,South Central,6,24S,57W,16.0,Active,Unable to resolve section number to a digit
10520,Agriculture,Grazing,AG-101830,"DENNIS A WIESER, JUDY A WIESER",AG 47238,,,FAM001581,6-3S-44W-8-Surface-Yuma-Internal Improvements,118.68,"N2SE, SESE",10,Wilbur Strickert,Northeast,6,3S,44W,8.0,Active,Unable to resolve section number to a digit
10520,Agriculture,Grazing,AG-101830,"DENNIS A WIESER, JUDY A WIESER",AG 47238,,,FAM001582,6-3S-44W-9-Surface-Yuma-Internal Improvements,75.48,W2SW,10,Wilbur Strickert,Northeast,6,3S,44W,9.0,Active,Unable to resolve section number to a digit
10520,Agriculture,Grazing,AG-101830,"DENNIS A WIESER, JUDY A WIESER",AG 47238,,,FAM001584,6-3S-44W-17-Surface-Yuma-Internal Improvements,476.43,"E2, E2W2",10,Wilbur Strickert,Northeast,6,3S,44W,17.0,Active,Unable to resolve section number to a digit
10520,Agriculture,Grazing,AG-101830,"DENNIS A WIESER, JUDY A WIESER",AG 47238,,,FAM001585,6-3S-44W-19-Surface-Yuma-Internal Improvements,40.0,SENE,10,Wilbur Strickert,Northeast,6,3S,44W,19.0,Active,Unable to resolve section number to a digit
10520,Agriculture,Grazing,AG-101830,"DENNIS A WIESER, JUDY A WIESER",AG 47238,,,FAM001586,6-3S-44W-20-Surface-Yuma-Internal Improvements,240.0,"NW, W2SW",10,Wilbur Strickert,Northeast,6,3S,44W,20.0,Active,Unable to resolve section number to a digit
19279,Oil and Gas,Oil & Gas,OG-108320,ROSE ROYALTY LLC,OG 5525 80,1980-08-20,,FAM014278,6-5N-67W-16-Oil & Gas-Weld-School,640.0,ALL,5,Catie Stitt,North Central,6,5N,67W,16.0,Active,Unable to resolve section number to a digit
